Date,Predicted
2021-11-01,-62292.49122012677
2021-11-02,-59306.002644386244
2021-11-03,-59556.346218216815
2021-11-04,-64661.08764174687
2021-11-05,-68795.68920929101
2021-11-06,-73586.20677973896
2021-11-07,-80305.79726127486
2021-11-08,-92289.81852101399
2021-11-09,-88824.06474523137
2021-11-10,-88400.29496181422
2021-11-11,-92325.69634782753
2021-11-12,-95773.49568312845
2021-11-13,-99414.56347619122
2021-11-14,-104873.99279726991
2021-11-15,-115515.26052313574
2021-11-16,-110653.84292657184
2021-11-17,-108812.02317769476
2021-11-18,-111327.61346526485
2021-11-19,-113517.10393180214
2021-11-20,-115740.14427494477
2021-11-21,-119988.23240156253
2021-11-22,-129535.44626779176
2021-11-23,-123717.89653183462
2021-11-24,-121074.77843521081
2021-11-25,-122956.71567850442
2021-11-26,-124575.3586789727
2021-11-27,-126634.10765446519
2021-11-28,-130783.96498682917
2021-11-29,-140407.14288376615
2021-11-30,-134830.31199071882
